p1,panel,box,50.000,40.000,400.000,300.000
p1,a,box,10.000,20.000,120.000,80.000
p1,b,box,256.000,110.000,120.000,80.000
p1,c,box,30.000,240.000,320.000,60.000
p2,row,box,0.000,0.000,500.000,120.000
p2,a,box,14.000,40.000,80.000,40.000
p2,b,box,106.000,14.000,60.000,92.000
p2,c,box,178.000,35.000,308.000,50.000
p3,card,box,10.000,10.000,200.000,178.000
p3,hero,box,16.000,16.000,100.000,90.000
p3,title,box,16.000,114.000,168.000,48.000
p4,stage,box,0.000,0.000,400.000,400.000
p4,tile,box,60.000,80.000,120.000,60.000
p4,tile,aabb,53.038,54.019,133.923,111.962
p5,list,box,0.000,0.000,260.000,140.000
p5,a,box,10.000,20.000,60.000,100.000
p5,b,box,100.000,20.000,60.000,100.000
p5,b,aabb,80.000,40.000,100.000,60.000
p5,c,box,190.000,20.000,60.000,100.000
p6,g,box,88.000,50.000,108.000,44.000
p6,p,box,-12.000,0.000,40.000,40.000
p6,q,box,56.000,4.000,40.000,40.000
